HMDB_ID	origin	Formula	Neutral mass	mz	md	inclusion
HMDB10720	Endogenous	C4H6O2	86.03677944	87.04405604	0.044056036	n
HMDB31209	Endogenous	C4H6O2	86.03677944	87.04405604	0.044056036	n
HMDB34439	Endogenous	C4H6O2	86.03677944	87.04405604	0.044056036	n
HMDB33977	Food	C4H6O2	86.03677944	87.04405604	0.044056036	n
HMDB30124	Endogenous	C5H10O	86.07316494	87.08044154	0.080441542	n
HMDB30126	Endogenous	C5H10O	86.07316494	87.08044154	0.080441542	n
HMDB31206	Endogenous	C5H10O	86.07316494	87.08044154	0.080441542	n
HMDB31525	Endogenous	C5H10O	86.07316494	87.08044154	0.080441542	n
HMDB31526	Endogenous	C5H10O	86.07316494	87.08044154	0.080441542	n
HMDB31604	Endogenous	C5H10O	86.07316494	87.08044154	0.080441542	n
HMDB31605	Endogenous	C5H10O	86.07316494	87.08044154	0.080441542	n
HMDB06478	Food	C5H10O	86.07316494	87.08044154	0.080441542	n
HMDB33854	Food	C5H10O	86.07316494	87.08044154	0.080441542	n
HMDB34235	Food	C5H10O	86.07316494	87.08044154	0.080441542	n
HMDB34465	Food	C5H10O	86.07316494	87.08044154	0.080441542	n
HMDB39779	Food	C5H10O	86.07316494	87.08044154	0.080441542	n
HMDB29600	Endogenous	C6H14	86.10955045	87.11682705	0.116827048	n
HMDB39426	Food	C3H5NO2	87.03202841	88.03930501	0.039305009	n
HMDB03609	Microbial	C3H5NO2	87.03202841	88.03930501	0.039305009	n
HMDB01080	Endogenous	C4H9NO	87.06841392	88.07569052	0.075690515	n
HMDB31215	Endogenous	C4H9NO	87.06841392	88.07569052	0.075690515	n
HMDB31581	Endogenous	C4H9NO	87.06841392	88.07569052	0.075690515	n
HMDB33870	Food	C4H9NO	87.06841392	88.07569052	0.075690515	n
HMDB31659	Endogenous	C5H13N	87.10479942	88.11207602	0.112076021	n
HMDB32392	Endogenous	C5H13N	87.10479942	88.11207602	0.112076021	n
HMDB00243	Endogenous	C3H4O3	88.01604399	89.02332059	0.023320594	n
HMDB11111	Endogenous	C3H4O3	88.01604399	89.02332059	0.023320594	n
HMDB40261	Food	C3H4O3	88.01604399	89.02332059	0.023320594	n
HMDB31653	Endogenous	C4H8S	88.03467095	89.04194755	0.041947546	n
HMDB39807	Food	C4H8S	88.03467095	89.04194755	0.041947546	n
HMDB00039	Endogenous	C4H8O2	88.0524295	89.0597061	0.0597061	n
HMDB01873	Endogenous	C4H8O2	88.0524295	89.0597061	0.0597061	n
HMDB30062	Endogenous	C4H8O2	88.0524295	89.0597061	0.0597061	n
HMDB31217	Endogenous	C4H8O2	88.0524295	89.0597061	0.0597061	n
HMDB31507	Endogenous	C4H8O2	88.0524295	89.0597061	0.0597061	n
HMDB40253	Food	C4H8O2	88.0524295	89.0597061	0.0597061	n
HMDB40579	Food	C4H8O2	88.0524295	89.0597061	0.0597061	n
HMDB03243	Plant	C4H8O2	88.0524295	89.0597061	0.0597061	n
HMDB29198	Endogenous	C3H8N2O	88.06366289	89.07093949	0.070939488	n
HMDB06007	Endogenous	C5H12O	88.08881501	89.09609161	0.096091606	n
HMDB13036	Endogenous	C5H12O	88.08881501	89.09609161	0.096091606	n
HMDB31527	Endogenous	C5H12O	88.08881501	89.09609161	0.096091606	n
HMDB31599	Food	C5H12O	88.08881501	89.09609161	0.096091606	n
HMDB33772	Food	C5H12O	88.08881501	89.09609161	0.096091606	n
HMDB33777	Food	C5H12O	88.08881501	89.09609161	0.096091606	n
HMDB01414	Endogenous	C4H12N2	88.10004839	89.10732499	0.107324994	n
HMDB00056	Endogenous	C3H7NO2	89.04767847	90.05495507	0.054955073	n
HMDB00161	Endogenous	C3H7NO2	89.04767847	90.05495507	0.054955073	n
HMDB00271	Endogenous	C3H7NO2	89.04767847	90.05495507	0.054955073	n
HMDB01310	Endogenous	C3H7NO2	89.04767847	90.05495507	0.054955073	n
HMDB31219	Endogenous	C3H7NO2	89.04767847	90.05495507	0.054955073	n
HMDB32231	Endogenous	C4H11NO	89.08406398	90.09134058	0.091340579	n
HMDB30025	Endogenous	C3H6OS	90.0139355	91.0212121	0.021212104	n
HMDB31189	Endogenous	C3H6OS	90.0139355	91.0212121	0.021212104	n
HMDB31636	Endogenous	C3H6OS	90.0139355	91.0212121	0.021212104	n
HMDB31718	Endogenous	C3H6OS	90.0139355	91.0212121	0.021212104	n
HMDB40346	Food	C3H6OS	90.0139355	91.0212121	0.021212104	n
HMDB00190	Endogenous	C3H6O3	90.03169406	91.03897066	0.038970658	n
HMDB00700	Endogenous	C3H6O3	90.03169406	91.03897066	0.038970658	n
HMDB01051	Endogenous	C3H6O3	90.03169406	91.03897066	0.038970658	n
HMDB01311	Endogenous	C3H6O3	90.03169406	91.03897066	0.038970658	n
HMDB01882	Endogenous	C3H6O3	90.03169406	91.03897066	0.038970658	n
HMDB29580	Endogenous	C3H6O3	90.03169406	91.03897066	0.038970658	n
HMDB31232	Endogenous	C3H6O3	90.03169406	91.03897066	0.038970658	n
HMDB41929	Endogenous	C3H6O3	90.03169406	91.03897066	0.038970658	n
HMDB31245	Endogenous	C4H10S	90.05032101	91.05759761	0.05759761	n
HMDB31322	Endogenous	C4H10S	90.05032101	91.05759761	0.05759761	n
HMDB31666	Endogenous	C4H10S	90.05032101	91.05759761	0.05759761	n
HMDB40576	Food	C4H10S	90.05032101	91.05759761	0.05759761	n
HMDB03156	Endogenous	C4H10O2	90.06807956	91.07535616	0.075356164	n
HMDB30061	Endogenous	C4H10O2	90.06807956	91.07535616	0.075356164	n
HMDB31213	Endogenous	C4H10O2	90.06807956	91.07535616	0.075356164	n
HMDB31320	Endogenous	C4H10O2	90.06807956	91.07535616	0.075356164	n
HMDB34232	Food	C3H5ClO	92.00289249	93.01016909	0.010169089	n
HMDB30299	Endogenous	C3H8OS	92.02958557	93.03686217	0.036862168	n
HMDB32425	Endogenous	C3H8OS	92.02958557	93.03686217	0.036862168	n
HMDB00131	Endogenous	C3H8O3	92.04734412	93.05462072	0.054620722	n
HMDB34168	Food	C7H8	92.06260026	93.06987686	0.069876856	n
HMDB03012	Endogenous	C6H7N	93.05784923	94.06512583	0.065125829	n
HMDB31335	Endogenous	C3H7ClO	94.01854255	95.02581915	0.025819153	n
HMDB33112	Food	C5H6N2	94.0530982	95.0603748	0.060374802	n
HMDB31532	Endogenous	C7H10	94.07825032	95.08552692	0.08552692	n
HMDB32395	Endogenous	C7H10	94.07825032	95.08552692	0.08552692	n
HMDB13751	Endogenous	C5H5NO	95.03711379	96.04439039	0.044390387	n
HMDB36057	Food	C5H5NO	95.03711379	96.04439039	0.044390387	n
